Sesion	Media Q Valor Acumulado	Distancia Recorrida	Tiempo									RefObj	RefColision
100	7.04	43,3784	60,7333	0,5	1,72222	1,75	1,61111	5	5	5	4,33333	85	142
200	7.62	45,4853	66,8364	0,5	1,63636	1,56818	1,52273	5	5	5	4,31818	168	283
300	6.96	43,2434	60,2	0,5	1,66667	1,72222	1,61111	5	5	5	4,33333	237	430
400	7.00	45,9721	64,9778	0,5	1,58333	1,61111	1,61111	5	5	5	4,33333	331	533
500	7.78	44,3269	63,1222	0,5	1,58333	1,61111	1,61111	5	5	5	4,5	405	643
600	7.99	45,2058	64,75	0,5	1,675	1,65	1,55	5	5	5	4,4	481	765
700	7.44	42,9272	59,6375	0,5	1,65625	1,6875	1,625	5	5	5	4,25	564	904
800	6.81	44,3811	62,5778	0,5	1,69444	1,72222	1,61111	5	5	5	4,33333	636	1023
900	6.76	46,1079	65,1222	0,5	1,58333	1,61111	1,61111	5	5	5	4,33333	721	1162
1000	6.49	44,5638	62,1667	0,5	1,55556	1,72222	1,66667	5	5	5	4,33333	804	1291
1100	7.27	43,4267	60,5222	0,5	1,72222	1,72222	1,61111	5	5	5	4,33333	883	1411
1200	7.85	43,1239	59,9778	0,5	1,72222	1,72222	1,61111	5	5	5	4,33333	957	1555
1300	7.04	44,506	63,75	0,5	1,6	1,6	1,55	5	5	5	4,4	1028	1672
1400	7.19	44,2838	62,5111	0,5	1,69444	1,66667	1,58333	5	5	5	4,5	1113	1804
1500	7.64	42,9511	62,5667	0,5	1,58333	1,66667	1,61111	5	5	5	4,5	1192	1926
1600	8.75	49,147	72,0636	0,5	1,61364	1,56818	1,47727	5	5	5	4,45455	1272	2070
1700	7.12	43,6403	61,3	0,5	1,61111	1,66667	1,61111	5	5	5	4,16667	1344	2208
1800	8.91	47,2501	68,5455	0,5	1,56818	1,63636	1,63636	5	5	5	4,59091	1417	2339
1900	6.67	42,5585	57,8625	0,5	1,75	1,75	1,65625	5	5	5	4,25	1501	2453
2000	7.42	45,4034	66,0222	0,5	1,55556	1,55556	1,52778	5	5	5	4,33333	1570	2586
2100	7.16	45,7594	66,71	0,5	1,7	1,625	1,525	5	5	5	4,4	1644	2709
2200	7.19	46,2673	66,6222	0,5	1,63889	1,63889	1,52778	5	5	5	4,5	1725	2845
2300	7.56	47,4313	69,5	0,5	1,54545	1,63636	1,61364	5	5	5	4,45455	1802	2962
2400	9.29	46,5731	67,52	0,5	1,65	1,65	1,475	5	5	5	4,55	1883	3065
2500	6.98	44,8854	64,07	0,5	1,525	1,5	1,55	5	5	5	4,4	1960	3187
2600	7.41	44,0779	62,0222	0,5	1,66667	1,66667	1,58333	5	5	5	4,33333	2039	3297
2700	7.95	43,562	61,21	0,5	1,625	1,6	1,55	5	5	5	4,25	2112	3429
2800	7.35	47,8569	69,2222	0,5	1,63889	1,72222	1,55556	5	5	5	4,5	2187	3550
2900	7.59	43,6645	63,1222	0,5	1,63889	1,66667	1,66667	5	5	5	4,33333	2267	3661
3000	7.71	42,1299	61,05	0,5	1,75	1,75	1,625	5	5	5	4,4375	2344	3788
3100	7.06	47,1986	69,1727	0,5	1,54545	1,61364	1,54545	5	5	5	4,45455	2425	3910
3200	6.61	46,804	67,5333	0,5	1,63889	1,66667	1,58333	5	5	5	4,66667	2505	4043
3300	8.23	47,1634	68,46	0,5	1,65	1,575	1,55	5	5	5	4,25	2580	4161
3400	10.09	46,4165	67,74	0,5	1,6	1,65	1,575	5	5	5	4,55	2667	4272
3500	7.31	43,3039	61,2	0,5	1,625	1,65	1,575	5	5	5	4,1	2742	4390
3600	6.26	44,5094	62,6	0,5	1,6875	1,75	1,6875	5	5	5	4,25	2821	4503
3700	9.72	45,8677	70,9625	0,5	1,65625	1,75	1,625	5	5	5	4,625	2903	4641
3800	7.87	48,3829	70,7	0,5	1,61364	1,56818	1,52273	5	5	5	4,45455	2977	4782
3900	6.76	43,3705	60,7222	0,5	1,72222	1,69444	1,58333	5	5	5	4,33333	3061	4904
4000	9.81	41,6868	60,3125	0,5	1,71875	1,6875	1,625	5	5	5	4,4375	3142	5016
4100	7.46	45,9111	66,5833	0,5	1,60417	1,60417	1,54167	5	5	5	4,25	3228	5130
4200	8.26	44,8703	66,5889	0,5	1,63889	1,61111	1,58333	5	5	5	4,33333	3303	5260
4300	8.10	44,2259	64,1273	0,5	1,61364	1,56818	1,54545	5	5	5	4,31818	3374	5400
4400	7.21	44,5996	63,3	0,5	1,59091	1,63636	1,56818	5	5	5	4,31818	3458	5519
4500	7.01	46,0461	66,9727	0,5	1,61364	1,61364	1,54545	5	5	5	4,31818	3529	5628
4600	8.07	44,8657	64,16	0,5	1,65	1,65	1,55	5	5	5	4,25	3600	5751
4700	6.14	45,9385	66,09	0,5	1,625	1,675	1,575	5	5	5	4,4	3676	5900
4800	7.88	47,5925	70,1778	0,5	1,47222	1,5	1,52778	5	5	5	4,33333	3746	6017
4900	7.82	43,5473	62,5667	0,5	1,75	1,63889	1,55556	5	5	5	4,16667	3830	6130
5000	10.58	45,965	66,87	0,5	1,6	1,65	1,575	5	5	5	4,4	3905	6264
5100	7.86	42,8556	62,6333	0,5	1,63889	1,66667	1,61111	5	5	5	4,5	3985	6379
5200	7.43	44,8542	62,8818	0,5	1,56818	1,61364	1,5	5	5	5	4,31818	4063	6521
